Asset type;Resource provider namespace/Entity;Abbreviation;Transformer;Validator1;Validator2;Validator3;Validator4
Blueprint;Microsoft.Blueprint/blueprints;bp;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Blueprint assignment;Microsoft.Blueprint/blueprints/artifacts;bpa;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
CDN endpoint;Microsoft.Cdn/profiles/endpoints;cdne;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;50characterLimit;
CDN profile;Microsoft.Cdn/profiles;cdnp;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;260characterLimit;
Cloud service;Microsoft.Compute/cloudServices;cld;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;15characterLimit;
Connections;Microsoft.Network/connections;con;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Container instance;Microsoft.ContainerInstance/containerGroups;ci;alphanumerics;;;50characterLimit;atLeast5Characters
Container registry;Microsoft.ContainerRegistry/registries;cr;alphanumerics;;;50characterLimit;atLeast5Characters
Data Lake Analytics account;Microsoft.DataLakeAnalytics/accounts;dla;alphanumerics;startWithAlphanumeric;endWithAlphanumeric;24characterLimit;atLeast3Characters
Data Lake Store account;Microsoft.DataLakeStore/accounts;dls;alphanumerics;startWithAlphanumeric;endWithAlphanumeric;24characterLimit;atLeast3Characters
Database Migration Service instance;Microsoft.DataMigration/services;dms;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;;62characterLimit;atLeast2Characters
Disk encryption set;Microsoft.Compute/diskEncryptionSets;des;alphanumericsUnderscores;;;80characterLimit;
DNS;Microsoft.Network/dnsZones;dnsz;labelsAlphanumericsUnderscoresHyphens;separatedByPeriod;atLeast2Labels;63characterLimit;
DNS zone;Microsoft.Network/privateDnsZones;pdnsz;labelsAlphanumericsUnderscoresHyphens;separatedByPeriod;atLeast2Labels;63characterLimit;
Event Grid domain;Microsoft.EventGrid/domains;evgd;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;50characterLimit;atLeast3Characters
Event Grid subscriptions;Microsoft.EventGrid/eventSubscriptions;evgs;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;64characterLimit;atLeast3Characters
Event Grid topic;Microsoft.EventGrid/domains/topics;evgt;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;50characterLimit;atLeast3Characters
Event hub;Microsoft.EventHub/namespaces/eventHubs;evh;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumeric;50characterLimit;atLeast3Characters
Event Hubs namespace;Microsoft.EventHub/namespaces;evhns;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumeric;50characterLimit;atLeast3Characters
ExpressRoute circuit;Microsoft.Network/expressRouteCircuits;erc;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumeric;80characterLimit;
Firewall;Microsoft.Network/azureFirewalls;afw;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumeric;80characterLimit;
Firewall policy;Microsoft.Network/firewallPolicies;afwp;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumeric;80characterLimit;
Front Door firewall policy;Microsoft.Network/frontdoorWebApplicationFirewallPolicies;fdfp;alphanumerics;startWithLetter;;128characterLimit;
Front Door instance;Microsoft.Network/frontDoors;fd;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;64characterLimit;atLeast5Characters
Function app;Microsoft.Web/sites;func;alphanumericsHyphens;;;60characterLimit;atLeast2Characters
Gallery;Microsoft.Compute/galleries;gal;alphanumericsUnderscoresHyphens;startWithAlphanumeric;endWithAlphanumeric;80characterLimit;
HDInsight - Hadoop cluster;Microsoft.HDInsight/clusters;hadoop;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;59characterLimit;atLeast3Characters
HDInsight - HBase cluster;Microsoft.HDInsight/clusters;hbase;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;59characterLimit;atLeast3Characters
